N,Childs,Tournament size,Crossover prob,Mutation prob,Elite size,Generations,Population size,GA CPU time,Fitness,Date
30,100,20,0.3,0.3,5,20,100,75.32117034000001,3859.110474565377,2024-09-19 10:19:36.721963
30,100,30,0.3,0.3,5,20,100,79.148928265,4072.6867516740567,2024-09-19 10:19:42.718771
30,100,5,0.3,0.3,10,20,100,76.37210827099999,4015.498103741538,2024-09-19 10:20:52.079449
30,100,10,0.3,0.3,10,20,100,79.097353191,4044.904687921166,2024-09-19 10:21:00.379553
30,100,30,0.3,0.3,10,20,100,75.780580597,4115.256634105608,2024-09-19 10:22:06.774423
30,100,5,0.3,0.3,20,20,100,78.200449582,4015.4107699931938,2024-09-19 10:22:17.037661
30,100,10,0.3,0.3,20,20,100,74.093248013,4100.091815808901,2024-09-19 10:23:19.906030
30,100,20,0.3,0.3,20,20,100,74.71259737,4106.279952579737,2024-09-19 10:23:30.544007
30,100,30,0.3,0.3,20,20,100,77.130335979,4375.525339562878,2024-09-19 10:24:35.885707
30,100,5,0.3,0.3,30,20,100,74.92470811300001,4133.208790918674,2024-09-19 10:24:44.410531
30,100,10,0.3,0.3,30,20,100,74.629948441,4082.4009620285046,2024-09-19 10:25:49.495781
30,100,20,0.3,0.3,30,20,100,76.697420867,4181.949816681075,2024-09-19 10:25:59.952029
30,100,30,0.3,0.3,30,20,100,77.360720997,4155.00489853284,2024-09-19 10:27:05.746012
30,100,5,0.3,0.3,5,20,150,78.95949626199999,4051.5580153803967,2024-09-19 10:27:17.393058
30,100,10,0.3,0.3,5,20,150,77.266064796,4186.278162986251,2024-09-19 10:28:21.925376
30,100,20,0.3,0.3,5,20,150,80.858751743,4450.506904002785,2024-09-19 10:28:37.407652
30,100,30,0.3,0.3,5,20,150,80.789337337,3989.332527388523,2024-09-19 10:29:41.838672
30,100,5,0.3,0.3,10,20,150,78.69625495000001,4160.86546718599,2024-09-19 10:29:54.820446
30,100,10,0.3,0.3,10,20,150,82.659830411,4015.4107699931938,2024-09-19 10:31:03.463617
30,100,20,0.3,0.3,10,20,150,76.71980081,4107.488164970977,2024-09-19 10:31:10.863539
30,100,30,0.3,0.3,10,20,150,78.415671535,4121.42285225362,2024-09-19 10:32:20.835851
30,100,5,0.3,0.3,20,20,150,78.64097391,4156.612098683223,2024-09-19 10:32:27.963989
30,100,10,0.3,0.3,20,20,150,82.655096953,4094.1392858201716,2024-09-19 10:33:42.233149
30,100,20,0.3,0.3,20,20,150,76.38255129599999,4167.443671953591,2024-09-19 10:33:43.182585
30,100,30,0.3,0.3,20,20,150,67.420898238,4060.558244973472,2024-09-19 10:34:53.512067
30,100,5,0.3,0.3,30,20,150,66.93709849,3894.5857214761745,2024-09-19 10:34:53.589249
30,100,10,0.3,0.3,30,20,150,80.134750204,4008.8473766215384,2024-09-19 10:36:12.167385
30,100,20,0.3,0.3,30,20,150,80.279344687,4446.873363641117,2024-09-19 10:36:12.738100
30,100,5,0.3,0.3,5,20,200,73.767851157,4189.299712594588,2024-09-19 10:37:25.320315
30,100,30,0.3,0.3,30,20,150,81.608335402,4370.707600458527,2024-09-19 10:37:32.191884
30,100,10,0.3,0.3,5,20,200,75.80363122,3885.37993227213,2024-09-19 10:38:40.273589
30,100,20,0.3,0.3,5,20,200,76.921509806,3962.3226915856285,2024-09-19 10:38:48.247965
30,100,30,0.3,0.3,5,20,200,68.44751221300001,4171.146155249273,2024-09-19 10:39:47.730047
30,100,5,0.3,0.3,10,20,200,72.924542823,4267.882413315144,2024-09-19 10:40:00.101025
30,100,10,0.3,0.3,10,20,200,79.610051504,4008.8473766215384,2024-09-19 10:41:06.264969
30,100,20,0.3,0.3,10,20,200,71.756914562,4258.070047636388,2024-09-19 10:41:10.904566
30,100,30,0.3,0.3,10,20,200,70.489904015,4289.359832374656,2024-09-19 10:42:15.690544
30,100,5,0.3,0.3,20,20,200,78.190565659,4192.989866034951,2024-09-19 10:42:27.894407
30,100,10,0.3,0.3,20,20,200,75.78655167999999,3944.4179869857435,2024-09-19 10:43:30.484115
30,100,20,0.3,0.3,20,20,200,78.373133134,3979.08222241133,2024-09-19 10:43:45.581151
30,100,30,0.3,0.3,20,20,200,80.89161516,4336.303984905363,2024-09-19 10:44:50.210861
30,100,5,0.3,0.3,30,20,200,67.92643084000001,3954.538886877579,2024-09-19 10:44:52.697075
30,100,20,0.3,0.3,30,20,200,66.955529695,4048.9302086432303,2024-09-19 10:45:58.387772
30,100,10,0.3,0.3,30,20,200,73.217455274,4108.442361837776,2024-09-19 10:46:02.396227
30,100,30,0.3,0.3,30,20,200,55.912659006999995,3938.9194848349634,2024-09-19 10:46:53.289714
10,100,20,0.3,0.3,5,20,50,5.192926778,1099.4415093726006,2024-09-19 10:52:29.327173
10,100,30,0.3,0.3,5,20,50,5.848060154000001,1218.5703112922492,2024-09-19 10:52:30.100553
40,100,5,0.3,0.3,5,20,50,135.36924124200002,4218.772837605249,2024-09-19 10:54:45.152151
40,100,10,0.3,0.3,5,20,50,140.106206506,4226.946103523751,2024-09-19 10:54:50.780416
40,100,20,0.3,0.3,5,20,50,140.836622197,4185.186280336697,2024-09-19 10:57:04.923046
40,100,30,0.3,0.3,5,20,50,140.11511947699998,4226.946103523751,2024-09-19 10:57:10.150688
40,100,5,0.3,0.3,10,20,50,139.926419223,4244.025044275306,2024-09-19 10:59:24.234150
40,100,10,0.3,0.3,10,20,50,138.786904784,4167.920149369636,2024-09-19 10:59:27.977923
40,100,20,0.3,0.3,10,20,50,142.83875939499998,4179.914805677574,2024-09-19 11:01:47.733632
